"adresse";"cedex";"code_commune";"code_postal";"commune";"complement_destinataire";"complement_point_geographique";"email";"enseigne_commerciale_site";"finess_etablissement_juridique";"finess_site";"identifiant_organisation";"indice_repetition_voie";"mention_distribution";"numero_voie";"pays";"raison_sociale_site";"siren_site";"siret_site";"telecopie";"telephone";"telephone_2";"type_voie";"voie"
"31 Avenue DU GENERAL DE GAULLE 01500";"01500 AMBERIEU EN BUGEY";"";"01500";"";"CABINET INFIRMIER MME GIRON FRITSCH";"";"";"";"";"";"C01669706200";"";"";"31";"France";"CABINET INFIRMIER MME GIRON FRITSCH";"";"";"";"";"";"Avenue";"DU GENERAL DE GAULLE"
"2 Route DE VEYZIAT 01100 Oyonnax";"01100 OYONNAX";"01283";"01100";"Oyonnax";"";"";"";"";"690796552";"";"F010006526";"";"";"2";"France";"AURAL UNITE DIALYSE CH HAUT BUGEY";"010006526";"30690522500240";"0474772370";"0474772370";"";"Route";"DE VEYZIAT"
"17 Rue DES SIRES 01330";"01330 VILLARS LES DOMBES";"";"01330";"";"CABINET INFIRMIER MME CALLAMARD";"CABINET DE SOINS INFIRMIERS";"";"";"";"";"C01669865600";"";"";"17";"France";"CABINET INFIRMIER MME CALLAMARD";"";"";"";"0961579530";"";"Rue";"DES SIRES"
"47 Boulevard DE BROU 01000 Bourg-en-Bresse";"01000 BOURG EN BRESSE";"01053";"01000";"Bourg-en-Bresse";"";"";"dirg@ch-bourg01.fr";"";"010780054";"";"F010009314";"";"";"47";"France";"SSR HOTEL DIEU DE FLEYRIAT";"010009314";"";"0474454114";"0474454647";"";"Boulevard";"DE BROU"
"554 Rue LEOPOLD LE HON 01000 Bourg-en-Bresse";"01000 BOURG EN BRESSE";"01053";"01000";"Bourg-en-Bresse";"";"";"";"";"750056335";"";"F010002129";"";"";"554";"France";"CLINIQUE DE READAPTATION LES ARBELLES";"010002129";"34117411801162";"0474450961";"0474255151";"";"Rue";"LEOPOLD LE HON"
"117 Place DE L EGLISE 01220";"01220 DIVONNE LES BAINS";"";"01220";"";"CABINET INFIRMIER MME PROVOST AZO";"";"";"";"";"";"C01670866100";"";"";"117";"France";"CABINET INFIRMIER MME PROVOST AZO";"";"";"";"0661525703";"";"Place";"DE L EGLISE"
"16 Rue PARMENTIER 01200";"01200 VALSERHONE";"";"01200";"";"CABINET INFIRMIER MME BURDAIRON";"CABINET CATHERINE BOUVIER";"";"";"";"";"C01671070900";"";"BELLEGARDE SUR VALSERINE";"16";"France";"CABINET INFIRMIER MME BURDAIRON";"";"";"";"0673570429";"";"Rue";"PARMENTIER"
"539 Rue SAINTE CLEMENCE 01200 Valserhône";"01200 VALSERHONE";"01033";"01200";"Valserhône";"";"";"contact@cliniquedechatillon.fr";"";"010011559";"";"F010010171";"";"CHATILLON-EN-MICHAILLE";"539";"France";"CLINIQUE DE CHATILLON";"010010171";"52424699800024";"";"0450132020";"";"Rue";"SAINTE CLEMENCE"
"Rue DE LA CHANAL 01700 Miribel";"01700 MIRIBEL";"01249";"01700";"Miribel";"";"";"";"";"360000707";"";"F010780492";"";"BP 10118";"";"France";"CRF ROMANS-FERRARI";"010780492";"77936703600059";"0437855657";"0437855656";"";"Rue";"DE LA CHANAL"
"160 Rue MARC PANISSOD 01174 Gex";"01174 GEX CEDEX";"01173";"01174";"Gex";"";"";"";"";"010780112";"";"F010000081";"";"BP 437";"160";"France";"CH DU PAYS DE GEX";"010000081";"26010010200011";"0450403825";"0450403838";"";"Rue";"MARC PANISSOD"
"Avenue FELIX MANGINI 01110 Plateau d'Hauteville";"01110 HAUTEVILLE LOMPNES";"01185";"01110";"Plateau d'Hauteville";"";"";"secret.direction@chph01.fr";"";"010007987";"";"F010000214";"";"BP 41";"";"France";"CH PUBLIC HAUTEVILLE - UNITE ALBARINE";"010000214";"26011019200028";"";"0474408169";"";"Avenue";"FELIX MANGINI"
"17 Route DE SERVIGNAT 01560 Saint-Trivier-de-Courtes";"01560 ST TRIVIER DE COURTES";"01388";"01560";"Saint-Trivier-de-Courtes";"";"";"ehpadtriviercourtes@orange.fr";"";"010000438";"";"F010781003";"";"GRANGE POURRET- BP 21";"17";"France";"EHPAD RESIDENCE DOCTEUR PERRET";"010781003";"26010024300021";"0474307340";"0474307044";"";"Route";"DE SERVIGNAT"
"23 Chemin DES MONTAINES 01370 Meillonnas";"01370 MEILLONNAS";"01241";"01370";"Meillonnas";"";"";"maslesmontaines@adapei01.asso.fr";"";"010785897";"";"F010789956";"";"";"23";"France";"MAS LES MONTAINES MEILLONNAS";"010789956";"77554408300386";"0474423485";"0474513005";"";"Chemin";"DES MONTAINES"
"46 Avenue DU GÉNÉRAL DE GAULLE 02209 Soissons";"02209 SOISSONS CEDEX";"02722";"02209";"Soissons";"";"";"secretariat.direction@ch-soissons.fr";"";"020000261";"";"F020000519";"";"";"46";"France";"CH SOISSONS";"020000519";"26020862400015";"0323591646";"0323757070";"";"Avenue";"DU GÉNÉRAL DE GAULLE"
"40 Rue AUX LOUPS 02500 Hirson";"02500 HIRSON";"02381";"02500";"Hirson";"";"";"direction@ch-hirson.fr";"";"020004495";"";"F020001087";"";"";"40";"France";"CH HIRSON";"020001087";"26020007600016";"0323588247";"0323588282";"";"Rue";"AUX LOUPS"
"20 Place DE LA LIBERTÉ 02140 Vervins";"02140 VERVINS";"02789";"02140";"Vervins";"";"";"direction@ch-vervins.com";"";"020000071";"";"F020000246";"";"";"20";"France";"CH VERVINS";"020000246";"26020010000014";"0323916000";"0323916060";"";"Place";"DE LA LIBERTÉ"
"1 Rue MICHEL DE L'HOSPITAL 02321 Saint-Quentin";"02321 ST QUENTIN CEDEX";"02691";"02321";"Saint-Quentin";"";"";"directiongenerale@ch-stquentin.fr";"";"020000063";"";"F020000162";"";"BP 608";"1";"France";"CH SAINT-QUENTIN";"020000162";"26020861600011";"0323067301";"0323067330";"";"Rue";"MICHEL DE L'HOSPITAL"
"94 Square DES ANCIENS COMBATTANTS 02303 Chauny";"02303 CHAUNY CEDEX";"02173";"02303";"Chauny";"";"";"direction@ch-chauny.fr";"";"020000287";"";"F020000535";"";"";"94";"France";"CH CHAUNY";"020000535";"26020864000011";"0323392433";"0323385500";"";"Square";"DES ANCIENS COMBATTANTS"
"Avenue DE L'HÔPITAL 02320 Prémontré";"02320 PREMONTRE";"02619";"02320";"Prémontré";"";"";"secretariat.direction@epsmd-aisne.fr";"";"020000295";"";"F020000543";"";"";"";"France";"ETS PUB SANTÉ MENTALE DE L'AISNE";"020000543";"26020034000016";"0323236608";"0323236666";"";"Avenue";"DE L'HÔPITAL"
"858 Rue DES DOCTEURS DEVILLERS 02120 Guise";"02120 GUISE";"02361";"02120";"Guise";"";"";"";"";"020000022";"260208657";"F020000022";"";"";"858";"France";"CENTRE HOSPITALIER DE GUISE";"";"";"0323515535";"0323515555";"";"Rue";"DES DOCTEURS DEVILLERS"
"66 Rue PASTEUR 02700";"02700 TERGNIER";"";"02700";"";"CABINET MME GAUDEZ";"";"";"";"";"";"C02609469800";"";"QUESSY";"66";"France";"CABINET MME GAUDEZ";"";"";"";"0323573130";"";"Rue";"PASTEUR"
"33 Rue MARCELIN BERTHELOT 02001 Laon";"02001 LAON CEDEX";"02408";"02001";"Laon";"";"";"secret.direction@ch-laon.fr";"";"020000253";"";"F020000394";"";"";"33";"France";"CH LAON";"020000394";"26020871500011";"0323243360";"0323243333";"";"Rue";"MARCELIN BERTHELOT"
"5 Rue MONTFAUCON 02370 Vailly-sur-Aisne";"02370 VAILLY SUR AISNE";"02758";"02370";"Vailly-sur-Aisne";"";"";"agmr.bonrepos@orange.fr";"";"020001046";"";"F020004065";"";"";"5";"France";"EHPAD BON REPOS";"020004065";"31648735400029";"0323724534";"0323547034";"";"Rue";"MONTFAUCON"
"30 Rue DE LA VICTOIRE 02200 Soissons";"02200 SOISSONS";"02722";"02200";"Soissons";"";"";"mdasilvalima@groupe-courlancy.com";"";"020014742";"";"F020000360";"";"";"30";"France";"CLINIQUE COURLANCY SOISSONS";"020000360";"43991616400015";"0323755240";"0323755252";"";"Rue";"DE LA VICTOIRE"
"1 Rue VICTOR ET LOUISE MONTFORT 02310 Villiers-Saint-Denis";"02310 VILLIERS ST DENIS";"02818";"02310";"Villiers-Saint-Denis";"";"";"secretariatdirecteur@hlrs-villiers.net";"";"750814030";"";"F020000303";"";"";"1";"France";"HOPITAL VILLIERS SAINT DENIS";"020000303";"77566179600034";"0323707440";"0323707522";"";"Rue";"VICTOR ET LOUISE MONTFORT"
"Rue DU TOUR DE VILLE 02110 Beaurevoir";"02110 BEAUREVOIR";"02057";"02110";"Beaurevoir";"";"";"f.randon@orpea.net";"";"920030152";"";"F020009023";"";"";"";"France";"EHPAD ORPEA BEAUREVOIR";"020009023";"40125156600253";"0323094666";"0323094300";"";"Rue";"DU TOUR DE VILLE"
"14 Avenue DE L'EUROPE 02400 Château-Thierry";"02400 CHATEAU THIERRY";"02168";"02400";"Château-Thierry";"";"";"labmpml02@orange.fr";"";"020015814";"";"F020015822";"";"";"14";"France";"LBM UNILABS BIOCT CHÂTEAU-THIERRY";"020015822";"32849787000027";"0323695499";"0323695490";"";"Avenue";"DE L'EUROPE"
"Route DE VERDILLY 02400 Château-Thierry";"02400 CHATEAU THIERRY";"02168";"02400";"Château-Thierry";"";"";"direction@ch-chateau-thierry.fr";"";"020004404";"";"F020001061";"";"";"";"France";"CH CHÂTEAU-THIERRY";"020001061";"26020863200018";"0323696900";"0323696600";"";"Route";"DE VERDILLY"
"28 B Boulevard DE COURTAIS 03100";"03100 MONTLUCON";"";"03100";"";"APOM";"";"";"";"";"";"C43224862300014";"B";"";"28";"France";"APOM";"";"43224862300014";"";"";"";"Boulevard";"DE COURTAIS"
"8 Rue AMBROISE CROIZAT 03630 Désertines";"03630 DESERTINES";"03098";"03630";"Désertines";"";"";"arthaud@elsan.com";"";"030000426";"";"F030781116";"";"BP 35 03103 MONTLUÇON CEDEX";"8";"France";"HOPITAL PRIVE SAINT-FRANCOIS";"030781116";"91725015100029";"0470054464";"0826399929";"";"Rue";"AMBROISE CROIZAT"
"18 Avenue DU 8 MAI 1945 03109 Montluçon";"03109 MONTLUCON CEDEX";"03185";"03109";"Montluçon";"";"";"";"";"030780100";"";"F030000079";"";"";"18";"France";"CH DE MONTLUCON";"030000079";"26030017300010";"0470059748";"0470023030";"";"Avenue";"DU 8 MAI 1945"
"85 Route DE LAVAULT SAINT ANNE 03100";"03100 MONTLUCON";"";"03100";"";"CABINET D INFIRMIERE MME TURLAND-DUMAS";"DU PARC";"";"";"";"";"C03604657100";"";"";"85";"France";"CABINET D INFIRMIERE MME TURLAND-DUMAS";"";"";"";"0470285112";"";"Route";"DE LAVAULT SAINT ANNE"
"Boulevard DENIERE 03201 Vichy";"03201 VICHY CEDEX";"03310";"03201";"Vichy";"";"";"";"";"030780118";"";"F030000087";"";"BP 2757";"";"France";"CH JACQUES LACARIN VICHY";"030000087";"26030026400017";"0470973303";"0470973333";"";"Boulevard";"DENIERE"
"3 Chemin DU CHATEAU D'EAU 03700";"03700 BELLERIVE SUR ALLIER";"";"03700";"";"CABINET INFIRMIER MME CHADELAT";"";"";"";"";"";"C03605658800";"";"";"3";"France";"CABINET INFIRMIER MME CHADELAT";"";"";"";"0630519543";"";"Chemin";"DU CHATEAU D'EAU"
"10 Avenue DU GENERAL DE GAULLE 03006 Moulins";"03006 MOULINS CEDEX";"03190";"03006";"Moulins";"";"";"direction@ch-moulins-yzeure.fr";"";"030780092";"";"F030000061";"";"BP 609";"10";"France";"CH DE MOULINS";"030000061";"26030383900013";"0470357799";"0470357777";"";"Avenue";"DU GENERAL DE GAULLE"
"6 Rue CHARLES PEGUY 03410";"03410 SAINT VICTOR";"";"03410";"";"CABINET INFIRMIER MME CHARLES";"";"";"";"";"";"C03606797300";"";"";"6";"France";"CABINET INFIRMIER MME CHARLES";"";"";"";"0687522430";"";"Rue";"CHARLES PEGUY"
"18 Avenue DU 8 MAI 1945 03109 Montluçon";"03109 MONTLUCON CEDEX";"03185";"03109";"Montluçon";"";"";"";"";"030780100";"260300173";"F030780100";"";"";"18";"France";"CH DE MONTLUCON";"";"";"0470059748";"0470023030";"";"Avenue";"DU 8 MAI 1945"
"25 Route DU STADE 03410 Prémilhat";"03410 PREMILHAT";"03211";"03410";"Prémilhat";"";"";"foyer.eglantine@apeah.org";"";"030008064";"";"F030003289";"";"";"25";"France";"\"FAM \"\"\"\"L'EGLANTINE\"\"\"\"\"";"030003289";"84251286500150";"";"0470020208";"";"Route";"DU STADE"
"15 Rue DU STADE 03240 Le Montet";"03240 LE MONTET";"03183";"03240";"Le Montet";"";"";"le-montet.maison-de-retraite@laposte.net";"";"030000244";"";"F030780662";"";"";"15";"France";"\"EHPAD \"\"\"\"LA CHARMILLE\"\"\"\"\"";"030780662";"26030007400036";"0470471779";"0470471758";"";"Rue";"DU STADE"
